Date,AAPL,GLD,QQQ,SPY,TLT
2015-01-02,24.2885799407959,114.08000183105469,95.01657104492188,171.56802368164062,97.2432632446289
2015-01-05,23.604331970214844,115.80000305175781,93.62278747558594,168.46958923339844,98.77082824707031
2015-01-06,23.606548309326172,117.12000274658203,92.36747741699219,166.88275146484375,100.55036163330078
2015-01-07,23.93756866455078,116.43000030517578,93.5582046508789,168.96231079101562,100.35173797607422
2015-01-08,24.857311248779297,115.94000244140625,95.3488540649414,171.96058654785156,99.0228042602539
2015-01-09,24.883968353271484,117.26000213623047,94.72122192382812,170.5825653076172,100.10743713378906
2015-01-12,24.27080726623535,118.55999755859375,93.73358154296875,169.24627685546875,100.68021392822266
2015-01-13,24.486303329467773,118.16000366210938,93.70587158203125,168.770263671875,100.68021392822266
2015-01-14,24.392993927001953,117.97000122070312,93.1889877319336,167.7513427734375,101.44401550292969
2015-01-15,23.7309627532959,120.94000244140625,91.97981262207031,166.2146453857422,103.04022979736328
2015-01-16,23.546571731567383,122.5199966430664,93.05973815917969,168.39437866210938,101.7265625
2015-01-20,24.153060913085938,124.19999694824219,93.79820251464844,168.75352478027344,103.07848358154297
2015-01-21,24.33745765686035,124.2300033569336,94.27816772460938,169.60540771484375,101.8869400024414
2015-01-22,24.970611572265625,125.2300033569336,96.02265930175781,172.1276092529297,101.52033233642578
2015-01-23,25.099458694458008,124.2300033569336,96.23494720458984,171.18386840820312,102.93336486816406
2015-01-26,25.126115798950195,122.98999786376953,96.12419891357422,171.5847625732422,102.62017059326172
2015-01-27,24.246370315551758,124.4000015258789,93.63204193115234,169.32142639160156,102.78054809570312
2015-01-28,25.617082595825195,123.41999816894531,93.15204620361328,167.14999389648438,104.46088409423828
2015-01-29,26.41462516784668,120.76000213623047,94.04737091064453,168.69505310058594,103.77342987060547
2015-01-30,26.0280818939209,123.44999694824219,93.3182144165039,166.57373046875,105.61418914794922
2015-02-02,26.35465431213379,122.41999816894531,94.13048553466797,168.63658142089844,105.21546173095703
2015-02-03,26.359094619750977,121.05000305175781,95.0350341796875,171.0752716064453,102.9884033203125
2015-02-04,26.561264038085938,121.58000183105469,94.95194244384766,170.42385864257812,103.16441345214844
2015-02-05,26.750837326049805,121.79000091552734,95.77345275878906,172.14427185058594,102.03174591064453
2015-02-06,26.525575637817383,118.63999938964844,95.19194793701172,171.66830444335938,100.22560119628906
2015-02-09,26.701772689819336,119.16999816894531,94.88735961914062,170.89988708496094,100.06488800048828
2015-02-10,27.214759826660156,118.47000122070312,96.36418914794922,172.7205810546875,99.26896667480469
2015-02-11,27.852632522583008,117.06999969482422,96.71495056152344,172.82078552246094,99.45265197753906
2015-02-12,28.205034255981445,117.33999633789062,97.8410415649414,174.4827423095703,99.12354278564453
2015-02-13,28.34330940246582,117.9800033569336,98.68098449707031,175.20103454589844,98.10566711425781
2015-02-17,28.510587692260742,116.01000213623047,98.77327728271484,175.4766387939453,96.62858581542969
2015-02-18,28.709089279174805,116.33999633789062,98.9117660522461,175.49327087402344,97.20257568359375
2015-02-19,28.64886474609375,115.94000244140625,99.40095520019531,175.36805725097656,96.55973052978516
2015-02-20,28.883056640625,115.27999877929688,100.06554412841797,176.42037963867188,96.84291076660156
2015-02-23,29.663686752319336,115.43000030517578,100.16708374023438,176.39529418945312,97.95263671875
2015-02-24,29.47855567932129,115.26000213623047,100.24091339111328,176.8964385986328,99.23832702636719
2015-02-25,28.724702835083008,115.69999694824219,99.9917221069336,176.74606323242188,99.6668701171875
2015-02-26,29.088253021240234,116.06999969482422,100.4993667602539,176.53726196289062,98.30464935302734
2015-02-27,28.651103973388672,116.16000366210938,100.0562973022461,175.9359588623047,99.13117218017578
2015-03-02,28.79161262512207,115.68000030517578,100.96086883544922,177.0467529296875,97.28472900390625
2015-03-03,28.851835250854492,115.47000122070312,100.49012756347656,176.32012939453125,96.9320068359375
2015-03-04,28.66893196105957,115.11000061035156,100.10243225097656,175.57681274414062,96.9626693725586
2015-03-05,28.193883895874023,115.0,100.27783203125,175.7689208984375,96.83993530273438
2015-03-06,28.236255645751953,111.86000061035156,99.14252471923828,173.2968292236328,94.70056915283203
2015-03-09,28.35669708251953,111.97000122070312,99.42866516113281,174.01504516601562,95.57473754882812
2015-03-10,27.770111083984375,111.41999816894531,97.58258056640625,171.1921844482422,96.83231353759766
2015-03-11,27.263822555541992,110.75,97.0195541381836,170.7913360595703,97.53779602050781
2015-03-12,27.756725311279297,110.72000122070312,97.6564712524414,172.96275329589844,97.46874237060547
2015-03-13,27.56492042541504,110.87999725341797,97.23185729980469,171.90213012695312,97.169677734375
2015-03-16,27.868249893188477,110.80999755859375,98.48717498779297,174.19876098632812,98.10519409179688
2015-03-17,28.334392547607422,110.20999908447266,98.64408874511719,173.6809844970703,98.91800689697266
2015-03-18,28.65333366394043,112.37000274658203,99.61323547363281,175.7689208984375,100.82735443115234
2015-03-19,28.43698501586914,112.29000091552734,99.7609634399414,174.96719360351562,100.31361389160156
2015-03-20,28.08013153076172,113.56999969482422,100.40668487548828,176.5115966796875,100.84270477294922
2015-03-23,28.372310638427734,114.29000091552734,100.21239471435547,176.1676025390625,100.72003936767578
2015-03-24,28.256328582763672,114.56999969482422,99.85160064697266,175.1776885986328,101.69387817382812
2015-03-25,27.518081665039062,114.7300033569336,97.56649017333984,172.6107177734375,100.83502960205078
2015-03-26,27.70989227294922,115.4800033569336,97.2334213256836,172.1996307373047,99.2630844116211
2015-03-27,27.48908805847168,115.05999755859375,97.62200927734375,172.59396362304688,100.49761199951172
