Date,AAPL,GLD,QQQ,SPY,TLT
2015-01-02,24.28858184814453,114.08000183105469,95.01658630371094,171.5679931640625,97.24324798583984
2015-01-05,23.604337692260742,115.80000305175781,93.62281799316406,168.4696044921875,98.77076721191406
2015-01-06,23.606552124023438,117.12000274658203,92.36748504638672,166.8827667236328,100.55036163330078
2015-01-07,23.937564849853516,116.43000030517578,93.55818176269531,168.9623260498047,100.35179901123047
2015-01-08,24.8573055267334,115.94000244140625,95.348876953125,171.9605712890625,99.02279663085938
2015-01-09,24.88396453857422,117.26000213623047,94.7212142944336,170.58255004882812,100.1073989868164
2015-01-12,24.270809173583984,118.55999755859375,93.73355102539062,169.2462615966797,100.68019104003906
2015-01-13,24.486297607421875,118.16000366210938,93.70585632324219,168.77029418945312,100.68019104003906
2015-01-14,24.392993927001953,117.97000122070312,93.18897247314453,167.7513427734375,101.44398498535156
2015-01-15,23.730960845947266,120.94000244140625,91.97982788085938,166.2146453857422,103.04024505615234
2015-01-16,23.546571731567383,122.5199966430664,93.05976104736328,168.3944091796875,101.7265625
2015-01-20,24.153064727783203,124.19999694824219,93.7981948852539,168.75352478027344,103.07845306396484
2015-01-21,24.33745765686035,124.2300033569336,94.27815246582031,169.60545349121094,101.88690185546875
2015-01-22,24.97060775756836,125.2300033569336,96.02267456054688,172.1276092529297,101.52037048339844
2015-01-23,25.099462509155273,124.2300033569336,96.23499298095703,171.18385314941406,102.9333267211914
2015-01-26,25.126113891601562,122.98999786376953,96.12420654296875,171.5847930908203,102.62018585205078
2015-01-27,24.246376037597656,124.4000015258789,93.63201904296875,169.32147216796875,102.7806167602539
2015-01-28,25.617090225219727,123.41999816894531,93.15203857421875,167.15003967285156,104.46090698242188
2015-01-29,26.414630889892578,120.76000213623047,94.04737091064453,168.695068359375,103.77347564697266
2015-01-30,26.028076171875,123.44999694824219,93.31819915771484,166.57371520996094,105.61410522460938
2015-02-02,26.35465431213379,122.41999816894531,94.13047790527344,168.63661193847656,105.21544647216797
2015-02-03,26.359098434448242,121.05000305175781,95.03504180908203,171.07530212402344,102.9884033203125
2015-02-04,26.561267852783203,121.58000183105469,94.95198059082031,170.42388916015625,103.1644058227539
2015-02-05,26.75084686279297,121.79000091552734,95.77345275878906,172.144287109375,102.03175354003906
2015-02-06,26.525575637817383,118.63999938964844,95.19193267822266,171.66822814941406,100.22559356689453
2015-02-09,26.701772689819336,119.16999816894531,94.88734436035156,170.89990234375,100.0649185180664
2015-02-10,27.214754104614258,118.47000122070312,96.36421966552734,172.72055053710938,99.26898956298828
2015-02-11,27.85264015197754,117.06999969482422,96.7149429321289,172.82080078125,99.4526138305664
2015-02-12,28.205026626586914,117.33999633789062,97.84105682373047,174.4828338623047,99.12355041503906
2015-02-13,28.343311309814453,117.9800033569336,98.6810073852539,175.20094299316406,98.10567474365234
2015-02-17,28.510595321655273,116.01000213623047,98.77330017089844,175.47659301757812,96.62860870361328
2015-02-18,28.709091186523438,116.33999633789062,98.91175079345703,175.49331665039062,97.20262145996094
2015-02-19,28.648874282836914,115.94000244140625,99.40095520019531,175.36802673339844,96.55974578857422
2015-02-20,28.883060455322266,115.27999877929688,100.06551361083984,176.4203643798828,96.8429183959961
2015-02-23,29.66367530822754,115.43000030517578,100.1670913696289,176.3953399658203,97.95259094238281
2015-02-24,29.478565216064453,115.26000213623047,100.24090576171875,176.89639282226562,99.23831939697266
2015-02-25,28.724700927734375,115.69999694824219,99.99168395996094,176.74610900878906,99.66688537597656
2015-02-26,29.0882511138916,116.06999969482422,100.49933624267578,176.53729248046875,98.30465698242188
2015-02-27,28.651100158691406,116.16000366210938,100.05631256103516,175.93594360351562,99.13116455078125
2015-03-02,28.791614532470703,115.68000030517578,100.96086883544922,177.0467529296875,97.28472137451172
2015-03-03,28.85183334350586,115.47000122070312,100.49016571044922,176.3201141357422,96.9320297241211
2015-03-04,28.6689395904541,115.11000061035156,100.10244750976562,175.57681274414062,96.96265411376953
2015-03-05,28.193876266479492,115.0,100.2778091430664,175.7689208984375,96.83998107910156
2015-03-06,28.236251831054688,111.86000061035156,99.14253997802734,173.2968292236328,94.70060729980469
2015-03-09,28.356691360473633,111.97000122070312,99.42864227294922,174.0150604248047,95.57471466064453
2015-03-10,27.77011489868164,111.41999816894531,97.58256530761719,171.1922607421875,96.83228302001953
2015-03-11,27.263822555541992,110.75,97.01956939697266,170.7913360595703,97.53776550292969
2015-03-12,27.75673484802246,110.72000122070312,97.65643310546875,172.96282958984375,97.46873474121094
2015-03-13,27.56492042541504,110.87999725341797,97.2318344116211,171.902099609375,97.16966247558594
2015-03-16,27.868247985839844,110.80999755859375,98.48715209960938,174.1988067626953,98.10517883300781
2015-03-17,28.334394454956055,110.20999908447266,98.64408874511719,173.68096923828125,98.91803741455078
2015-03-18,28.65333366394043,112.37000274658203,99.6132583618164,175.7689208984375,100.82735443115234
2015-03-19,28.43698501586914,112.29000091552734,99.76095581054688,174.9671173095703,100.31365203857422
2015-03-20,28.080137252807617,113.56999969482422,100.40670776367188,176.5115509033203,100.84271240234375
2015-03-23,28.372310638427734,114.29000091552734,100.21240234375,176.1676483154297,100.72000122070312
2015-03-24,28.256332397460938,114.56999969482422,99.85161590576172,175.177734375,101.69381713867188
2015-03-25,27.51807975769043,114.7300033569336,97.56648254394531,172.61073303222656,100.83499908447266
2015-03-26,27.70989227294922,115.4800033569336,97.23345184326172,172.19970703125,99.2630386352539
2015-03-27,27.489089965820312,115.05999755859375,97.62200164794922,172.59396362304688,100.49764251708984
